ID,code-vec1,code-vec2,code-vec3,code-vec4,code-vec5,code-vec6,code-vec7,code-vec8,code-vec9,code-vec10,code-vec11,code-vec12,code-vec13,code-vec14,Shape_Leng,Shape_Area,x,y,lng,lat
2001_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6132.82331,859203.613,12956630.89,1055901.823,116.3913956,26.02497642
2001_2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2630.634102,218866.6846,12956970,268941.7002,116.3944419,26.01875897
2001_3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1550.326019,80261.10195,12961975.91,98610.87879,116.4394107,26.017485
2001_4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,390.5713676,5677.977115,12982682.14,6972.452434,116.625418,26.01694951
2001_5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2690.618707,220498.842,12957540,270924.1119,116.3995623,26.01458181
2001_6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1964.013853,129727.8219,12964650.94,159365.964,116.4634409,26.01372953
2001_7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,949.3888509,30013.69026,12983543.92,36853.13312,116.6331594,26.01293206
2001_8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14199.02474,1666393.013,12955205.79,2048143.206,116.3785932,26.03020096
2001_9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6187.569286,867446.0716,12958858.6,1065749.464,116.4114074,26.01259082
2001_10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2576.757762,206743.2858,12961215,253982.2302,116.4325754,26.01040464
2001_11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3319.592492,291208.3355,12982726.76,357577.0904,116.6258187,26.01363032
2001_12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6134.010563,646233.1068,12964674.03,793808.7205,116.4636484,26.00890298
2001_13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1759.119499,104603.1113,12965738.95,128479.5434,116.4732147,26.0053511
2001_14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,114.0510935,810.8958611,12965955,995.9581739,116.4751555,26.00420627
2001_15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4337.013576,396690.7213,12983942.36,487037.0167,116.6367387,26.00770694
2001_16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1237.528384,48675.64207,12984724,59757.65789,116.6437603,26.00480814
2001_17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,570.1663507,12159.66485,12952915,14939.25061,116.3580152,26.00357745
2001_18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,570.3713794,12168.4029,12982345,14939.24812,116.6223894,26.00357745
2001_19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3551.251987,425655.1995,12958995,522866.9837,116.4126328,26.00205031
2001_20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3497.181829,413509.0669,12960540,507927.9699,116.4265117,26.00205031
2001_21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,114.0528751,810.9225581,12966015,995.9208144,116.4756945,26.00016385
2001_22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5106.681817,758503.8958,12982782.92,931218.6543,116.6263232,26.00422212
2001_23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9594.521781,974264.0166,12983298.74,1196182.768,116.630957,26.00809789
2001_24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3611.03201,441021.5353,12953895,541770.387,116.3668187,25.99787314
2001_25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2690.804803,228627.7894,12955703.62,280844.2182,116.3830658,25.99790181
