src_YearID	nbr_YearID	LENGTH
2001_1	2001_2	27.06288972200
2001_1	2001_506	6105.76042073000
2001_10	2001_506	2576.75776198000
2001_100	2001_188	27.09233026850
2001_100	2001_111	1319.13279033000
2001_100	2001_229	1346.21696721000
2001_101	2001_229	57.06341342050
2001_102	2001_506	1289.00150208000
2001_102	2001_110	1289.00749753000
2001_103	2001_229	487.69788737000
2001_103	2001_121	3012.12207622000
2001_104	2001_229	1289.49149544000
2001_104	2001_109	1289.50987283000
2001_105	2001_109	2156.69477188000
2001_105	2001_229	3982.61277104000
2001_106	2001_229	168.32754478300
2001_107	2001_421	14099.60273510000
2001_108	2001_111	2147.83070191000
2001_108	2001_188	3069.04749541000
2001_109	2001_104	1289.50987283000
2001_109	2001_105	2156.69477188000
2001_109	2001_229	2654.82030256000
2001_109	2001_352	2725.88804909000
2001_11	2001_22	27.07429717730
2001_11	2001_4	135.36197615200
2001_11	2001_23	1512.88674611000
2001_110	2001_102	1289.00749753000
2001_110	2001_116	14018.00105100000
2001_110	2001_506	29295.86249770000
2001_111	2001_117	433.53096342200
2001_111	2001_229	828.60152761700
2001_111	2001_100	1319.13279033000
2001_111	2001_92	1749.68294778000
2001_111	2001_188	1768.52002638000
2001_111	2001_108	2147.83070191000
2001_111	2001_421	5614.73987230000
2001_112	2001_229	1737.57230061000
2001_113	2001_506	8714.60803092000
2001_114	2001_168	57.02936966070
2001_115	2001_506	2524.04214723000
2001_115	2001_116	2578.21117657000
2001_116	2001_150	882.74031601800
2001_116	2001_506	1668.40915962000
2001_116	2001_115	2578.21117657000
2001_116	2001_110	14018.00105100000
2001_117	2001_111	433.53096342200
2001_117	2001_421	2117.96964266000
2001_117	2001_188	2551.54338400000
2001_118	2001_188	5103.10837827000
2001_119	2001_229	1953.03057182000
2001_12	2001_6	460.14457610200
2001_12	2001_506	5673.86598695000
2001_120	2001_506	5270.28412003000
2001_121	2001_30	297.85728023900
2001_121	2001_94	433.49038201500
2001_121	2001_32	1042.30314274000
2001_121	2001_71	1665.64607460000
2001_121	2001_36	1779.22736267000
2001_121	2001_78	2578.44477155000
2001_121	2001_76	2578.50197106000
2001_121	2001_70	2719.43028467000
2001_121	2001_103	3012.12207622000
2001_121	2001_35	4817.27501362000
2001_121	2001_62	5270.64088199000
2001_121	2001_229	115581.24411500000
2001_122	2001_229	858.82093631200
2001_122	2001_127	1834.54111837000
2001_123	2001_229	507.89501648600
2001_124	2001_229	57.06777864480
2001_125	2001_229	57.06777864480
2001_126	2001_229	57.06786565360
2001_127	2001_352	433.67544782400
2001_127	2001_122	1834.54111837000
2001_127	2001_229	8217.00393559000
2001_128	2001_184	2692.58875054000
2001_129	2001_352	1319.57486191000
2001_129	2001_229	1373.77543612000
2001_13	2001_14	29.95581821980
2001_13	2001_506	1231.46225273000
2001_130	2001_352	5327.08775991000
2001_131	2001_144	2824.42477631000
2001_132	2001_157	3613.15433949000
2001_133	2001_184	433.55963823200
2001_133	2001_150	2259.02394226000
2001_134	2001_229	27.10211337630
2001_134	2001_352	2666.03285305000
2001_135	2001_352	2693.40704135000
2001_136	2001_188	8718.06408405000
2001_137	2001_229	460.79995040400
2001_137	2001_352	9180.87951602000
2001_138	2001_168	2692.06202694000
2001_139	2001_140	487.80866349900
2001_139	2001_151	2690.04034027000
2001_139	2001_421	3042.29728745000
2001_139	2001_163	5247.39326783000
2001_139	2001_184	11497.99049280000
2001_14	2001_506	27.06977638810
2001_14	2001_13	29.95581821980
2001_140	2001_145	433.63894402400
2001_140	2001_139	487.80866349900
2001_140	2001_421	6193.30011164000
2001_141	2001_142	885.97354605400
2001_141	2001_148	1807.64546451000
2001_142	2001_148	460.84907187400
2001_142	2001_141	885.97354605400
2001_142	2001_147	1346.81413802000
2001_143	2001_352	1629.40569222000
2001_144	2001_131	2824.42477631000
2001_144	2001_168	9333.27348839000
2001_145	2001_140	433.63894402400
2001_145	2001_421	3066.79036588000
2001_146	2001_229	3501.13392987000
2001_147	2001_229	487.98121181600
2001_147	2001_160	801.82647821700
2001_147	2001_142	1346.81413802000
2001_147	2001_165	1753.47205080999
2001_147	2001_148	4275.88027006000
2001_148	2001_352	433.70105024200
2001_148	2001_142	460.84907187400
2001_148	2001_141	1807.64546451000
2001_148	2001_165	2175.69382405000
2001_148	2001_147	4275.88027006000
2001_148	2001_229	20603.26950800000
2001_149	2001_506	5217.02332544000
2001_15	2001_35	912.60660165800
2001_15	2001_23	2466.33180544000
2001_150	2001_116	882.74031601800
2001_150	2001_133	2259.02394226000
2001_150	2001_184	22493.78806230000
2001_150	2001_506	36903.44582940000
2001_151	2001_139	2690.04034027000
2001_151	2001_163	3491.77493587000
2001_151	2001_421	6073.60715013000
2001_152	2001_153	87.03679515390
2001_152	2001_187	1031.67872742000
2001_153	2001_187	81.34116200730
2001_153	2001_152	87.03679515390
2001_154	2001_188	2702.23131019000
2001_154	2001_352	4414.10162545000
2001_155	2001_229	6990.89751938000
2001_156	2001_168	5421.58337133000
2001_157	2001_132	3613.15433949000
2001_157	2001_168	33409.46399790000
2001_158	2001_159	2609.11670134000
2001_158	2001_173	2609.13368649000
2001_159	2001_173	921.61787307200
2001_159	2001_158	2609.11670134000
2001_159	2001_421	7881.29656964000
2001_16	2001_35	808.29575938700
2001_160	2001_352	433.82363786400
2001_160	2001_147	801.82647821700
2001_160	2001_229	4731.36664732000
2001_160	2001_165	6075.41597437000
2001_161	2001_187	3053.85141501000
2001_162	2001_168	279.51110036800
2001_163	2001_151	3491.77493587000
2001_163	2001_421	3519.10940985000
2001_163	2001_139	5247.39326783000
2001_163	2001_184	10432.42456610000
2001_164	2001_421	1289.69975015000
2001_164	2001_238	1289.70818619000
2001_165	2001_147	1753.47205080999
2001_165	2001_148	2175.69382405000
2001_165	2001_160	6075.41597437000
2001_165	2001_352	14211.32022690000
2001_166	2001_182	433.87257927500
2001_166	2001_187	1175.89952279000
2001_167	2001_168	1223.63664288000
2001_168	2001_114	57.02936966070
2001_168	2001_162	279.51110036800
2001_168	2001_167	1223.63664288000
2001_168	2001_138	2692.06202694000
2001_168	2001_156	5421.58337133000
2001_168	2001_144	9333.27348839000
2001_168	2001_157	33409.46399790000
2001_168	2001_506	70554.24193060000
2001_169	2001_506	2692.61163197000
2001_17	2001_506	420.41112178000
2001_170	2001_506	8662.89381997000
2001_171	2001_506	6979.42099624000
2001_171	2001_184	11383.65654520000
2001_172	2001_456	921.68897320900
2001_172	2001_421	6875.82567504000
2001_173	2001_159	921.61787307200
2001_173	2001_158	2609.13368649000
2001_173	2001_421	11382.31955880000
2001_174	2001_229	7063.14951708000
2001_175	2001_229	2694.05904023000
2001_176	2001_506	2578.60138866000
2001_177	2001_184	27.10718260040
2001_177	2001_183	27.10808185390
2001_177	2001_421	2524.96264030000
2001_178	2001_421	6140.39390132000
2001_179	2001_190	27.11592067030
2001_179	2001_193	1262.84884442000
2001_179	2001_180	1289.95667118000
2001_18	2001_22	393.48706585900
2001_180	2001_193	433.83825312500
2001_180	2001_190	460.97223997600
2001_180	2001_179	1289.95667118000
2001_180	2001_229	17046.61810270000
2001_181	2001_187	460.99464324000
2001_181	2001_352	2119.14276190000
2001_182	2001_166	433.87257927500
2001_182	2001_187	5708.38756585000
2001_183	2001_177	27.10808185390
2001_183	2001_421	2666.24749941000
2001_184	2001_177	27.10718260040
2001_184	2001_133	433.55963823200
2001_184	2001_128	2692.58875054000
2001_184	2001_506	3039.56703249000
2001_184	2001_163	10432.42456610000
2001_184	2001_171	11383.65654520000
2001_184	2001_139	11497.99049280000
2001_184	2001_150	22493.78806230000
2001_184	2001_421	48819.16386300000
2001_185	2001_193	488.09790334600
2001_185	2001_186	829.01309428300
2001_185	2001_229	1262.88388677000
2001_186	2001_185	829.01309428300
2001_186	2001_193	1750.99844916000
2001_187	2001_153	81.34116200730
2001_187	2001_181	460.99464324000
2001_187	2001_152	1031.67872742000
2001_187	2001_166	1175.89952279000
2001_187	2001_161	3053.85141501000
2001_187	2001_182	5708.38756585000
2001_187	2001_352	15937.49625190000
2001_188	2001_100	27.09233026850
2001_188	2001_352	27.10828322800
2001_188	2001_111	1768.52002638000
2001_188	2001_117	2551.54338400000
2001_188	2001_154	2702.23131019000
2001_188	2001_108	3069.04749541000
2001_188	2001_118	5103.10837827000
2001_188	2001_136	8718.06408405000
2001_188	2001_229	31519.91219530000
2001_188	2001_421	47597.16740080000
2001_189	2001_229	433.91052970700
2001_189	2001_193	2146.22221762000
2001_19	2001_506	3551.25198663000
2001_190	2001_179	27.11592067030
2001_190	2001_180	460.97223997600
2001_190	2001_229	4704.84093327000
2001_190	2001_193	5138.72970450000
2001_191	2001_421	2580.04150674000
2001_192	2001_193	1263.00272269000
2001_192	2001_229	1263.01008877000
2001_193	2001_180	433.83825312500
2001_193	2001_185	488.09790334600
2001_193	2001_179	1262.84884442000
2001_193	2001_192	1263.00272269000
2001_193	2001_186	1750.99844916000
2001_193	2001_189	2146.22221762000
2001_193	2001_190	5138.72970450000
2001_193	2001_229	10180.77681100000
2001_194	2001_229	461.09258902200
2001_194	2001_233	856.27375583600
2001_194	2001_352	3903.54361088000
2001_195	2001_506	6139.91171897000
2001_196	2001_421	2693.44912605000
2001_197	2001_421	2693.56223199000
2001_198	2001_224	2694.04268004000
2001_199	2001_421	2694.36294281000
2001_2	2001_1	27.06288972200
2001_2	2001_506	2603.57121212000
2001_20	2001_506	3497.18182871000
2001_200	2001_229	3616.85040026000
